question,answer_llm,answer_orig,document
"I just found this course — am I still allowed to join, or is it too late?","Yes, you can still join. It’s not too late.

If you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join now, can I still get a certificate somehow?","Yes — if you join now, you can still get a certificate, but only if you submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to qualify for the certificate if I’m starting late?,"If you’re starting late, you can still get the certificate, but you need to:

1. **Submit your Capstone project while submissions are still open**
2. **Pass the Capstone project**
3. **Participate in the peer-review of three peers in your cohort**

Homework is not mandatory for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is there a deadline for submitting the project if I want the certificate?,"Yes. If you want a certificate, you need to submit your project while the course is still accepting submissions. After the submission form closes, you can no longer submit, and certificates aren’t available in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Can I enroll after the course has already started, and still count my project for certification?","Yes — you can still get a certificate if you miss homework, because homework is not mandatory. The certificate depends on passing the Capstone project and completing it with a live cohort.

If you enroll after the course has already started, the context says certificates are only awarded for finishing with a “live” cohort, and peer-review is only possible while the course is running. So I don’t know whether late enrollment would still count for certification beyond that.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Do I actually need a confirmation email to join the LLM Zoomcamp, or am I already accepted?","You’re already accepted — you don’t need to wait for a confirmation email.

Registration is just to gauge interest, and it is not checked against a registered list. You can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I registered for the course, do I have to wait for an email before I can start the lessons and homework?","No. You don’t need to wait for a confirmation email. If you registered, you’re accepted, and you can start learning and submitting homework right away while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is there some approved list I need to be on, or can anyone just begin submitting homework while registration is open?","Anyone can start submitting homework while the submission form is open. There’s no approved registration list checked against submissions, and registration is just to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of the registration form if the course doesn’t check who registered?,"Registration is just to gauge interest before the start date. The course doesn’t check a registered list, so you can start learning and submitting homework while the form is open without needing a confirmation email.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I start learning and turning in assignments right away without getting any extra confirmation after signing up?,"Yes. You don’t need any extra confirmation email after signing up.

You’re accepted, and you can start learning and submitting homework right away while the form is open. Registration is only used to gauge interest, and it is not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
