question,document
"I just found this course — am I still allowed to join, or is it too late?",74eb249bbf
"If I join now, can I still get a certificate somehow?",74eb249bbf
What do I need to do to qualify for the certificate if I’m starting late?,74eb249bbf
Is there a deadline for submitting the project if I want the certificate?,74eb249bbf
"Can I enroll after the course has already started, and still count my project for certification?",74eb249bbf
"Do I actually need a confirmation email to join the LLM Zoomcamp, or am I already accepted?",977bf7786c
"If I registered for the course, do I have to wait for an email before I can start the lessons and homework?",977bf7786c
"Is there some approved list I need to be on, or can anyone just begin submitting homework while registration is open?",977bf7786c
What’s the point of the registration form if the course doesn’t check who registered?,977bf7786c
Can I start learning and turning in assignments right away without getting any extra confirmation after signing up?,977bf7786c
Where do students actually join the office hours or live workshop if the Zoom link isn’t public?,489dd1c9d9
How can I ask questions during the live sessions if I’m not in the Zoom room?,489dd1c9d9
"Will the office hours stream link be shared somewhere before it starts, and where should I look for it?",489dd1c9d9
"Can I watch the live workshop on YouTube, or is it only for instructors and TAs?",489dd1c9d9
"Should I use the chat to ask questions during office hours, or is there a better place to submit them?",489dd1c9d9
"Where should I begin if I’m just starting LLM Zoomcamp, and what pages or repo should I look at first?",04919992b3
"What’s the usual weekly routine for this course — do I watch the lecture first, then do notebooks, then homework?",04919992b3
"Can I join and start the course at any time, or is there a fixed start date I need to wait for?",04919992b3
Where do I check the deadlines and submit my homework answers for LLM Zoomcamp?,04919992b3
"Is the homework basically the same as the lesson work, or does it use a different dataset/task?",04919992b3
How can I find my own entry on the leaderboard if I’m not sure which one is mine?,c2903069a0
"Why do I see a random name on the leaderboard, and can I change it?",c2903069a0
Where do I check what my displayed name is in the course profile?,c2903069a0
"If I want my certificate to show my real name instead of the default nickname, what should I update?",c2903069a0
"Can I use a Slack or GitHub handle as my course name, and which name ends up on the certificate?",c2903069a0
"Can I take the course on my own schedule and still get the certificate, or is it only for the live cohort?",69d122f12e
"If I study the course self-paced, will I be able to receive a certificate at the end?",69d122f12e
Why don’t you give certificates for the self-paced version of the course?,69d122f12e
Do I have to finish the course while it’s running live to qualify for a certificate?,69d122f12e
"Is the peer-review part required for getting the certificate, and can that be done after the course ends?",69d122f12e
Do I still qualify for the certificate if I missed the first homework?,9f689c185f
Is the Capstone project enough to get the course certificate?,9f689c185f
"Are homework assignments required for certification, or are they optional?",9f689c185f
"If homework isn't mandatory, what do those points actually affect?",9f689c185f
Should I still do the homework even if it's not needed for the certificate?,9f689c185f
Why does the homework content keep changing before it’s released?,96286b4be4
How can I tell if a homework is actually ready to do?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
Can I start working on homework early if it still says draft?,96286b4be4
When is it safe to assume the homework won’t change anymore?,96286b4be4
When is the llm-zoomcamp going to be offered again?,bd31146b0e
Do you know the next time this course will run?,bd31146b0e
What’s the upcoming offering for this course?,bd31146b0e
When should I expect the next course session to start?,bd31146b0e
"Is there a planned next run of the course, and when is it?",bd31146b0e
Where can I find the course videos or lectures?,31456f4b5f
Is there a central place I should start from for the lessons and videos?,31456f4b5f
How do I get to the videos for each lesson in the course?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course?,31456f4b5f
Where are the lecture links listed for every lesson page?,31456f4b5f
Where do I check the LLM Zoomcamp syllabus and see what’s in the current cohort?,20c5a1347e
Is there a place to follow deadlines and homework for the LLM Zoomcamp course?,20c5a1347e
How can I track my progress in LLM Zoomcamp without digging through messages?,20c5a1347e
"What platform should I use for the LLM Zoomcamp schedule, homework, and cohort info?",20c5a1347e
Does LLM Zoomcamp have a course management site like the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do you guys run live sessions for every module, or is everything just prerecorded in the repo?",d65e05bd7a
"If I get stuck on a module, where should I ask for help — Slack or somewhere else?",d65e05bd7a
"Are office hours included in the free course, or do I need to pay for extra support?",d65e05bd7a
"How do I know when a live session is happening, since it doesn't seem to be part of every module?",d65e05bd7a
Is there any optional paid community with regular Zoom help for this course?,d65e05bd7a
