question,answer_agent,answer_orig,tool_calls,cost,document
"I just found this course — am I still allowed to join, or is it too late?","Yes — you can still join the course.

According to the FAQ, if you just discovered it, that’s fine. The only important caveat is that if you want a certificate, you’ll need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""late to join course enrollment allowed still join too late FAQ""}'}]",0.001017,74eb249bbf
"If I join now, can I still get a certificate somehow?","Yes — if you join while the course is still running, you can still get a certificate, but you need to submit your project before submissions close.

A couple of notes:
- Homework is not required for the certificate.
- You do need to complete the Capstone/project requirements and peer-review during the live cohort.
- You can’t get a certificate in self-paced mode.

If you want, I can also explain the exact certificate requirements.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""certificate join now get certificate late join enrollment certificate eligibility""}'}]",0.00120075,74eb249bbf
What do I need to do to qualify for the certificate if I’m starting late?,"If you’re starting late, you can still join the course, but to qualify for the certificate you need to submit your project while the course is still accepting submissions.

A few key points:
- Homework is not required for the certificate.
- You must pass the Capstone project.
- You also need to finish with the live cohort, since certificates aren’t given for self-paced mode.
- Part of that is being able to peer-review 3 capstone projects while the course is running.

So in short: start late if needed, but make sure you complete and submit the capstone on time and while the course is active.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""certificate qualify starting late late start requirements certificate attendance assignments""}'}]",0.00137775,74eb249bbf
Is there a deadline for submitting the project if I want the certificate?,"Yes — if you want the certificate, you need to submit your capstone project while the course is still accepting submissions.

A few important details:
- There’s **no individual deadline extension**
- Once the **submission form closes**, you **can’t submit late**
- To get the certificate, you also need to be in the **live cohort**, since certificate eligibility requires the peer-review process

If you want, I can also summarize exactly what’s required to earn the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""deadline submitting project certificate""}'}]",0.00120675,74eb249bbf
"Can I enroll after the course has already started, and still count my project for certification?","Yes — you can still catch up if you enroll after the course has started, but for certification the key requirement is that you finish with the live cohort.

A few important points from the FAQ:

- You **do not get a certificate in self-paced mode**.
- The certificate depends on **submitting your capstone/project and completing peer reviews**.
- You can only do the required peer reviews **while the course is actively running**.

So, if you enroll late, you can still work on the course and project, but make sure you do so **before the cohort closes** and that you complete the **peer-review requirement**, otherwise it won’t count toward certification.

If you want, I can also help clarify the difference between **self-paced** and **live cohort** certification rules.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""enroll after course started project count for certification""}'}]",0.00161025,74eb249bbf
"Do I actually need a confirmation email to join the LLM Zoomcamp, or am I already accepted?","You don’t need the confirmation email — you’re already accepted.

According to the FAQ, registration is only used to gauge interest before the start date, and it’s not checked against a registered list. You can also start learning and submit homework while the form is open even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp confirmation email accepted join confirmation email accepted already accepted FAQ""}'}]",0.0011640,977bf7786c
"If I registered for the course, do I have to wait for an email before I can start the lessons and homework?","No—you don’t need to wait for a confirmation email. If you registered, you’re accepted, and you can start the lessons and submit homework as soon as the homework form is open. Registration is just to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registered for the course wait for email before start lessons homework""}'}]",0.00133875,977bf7786c
"Is there some approved list I need to be on, or can anyone just begin submitting homework while registration is open?","No approved list is needed. You can start learning and submitting homework while the submission form is open, even without registering. Registration is just to gauge interest before the start date, and it isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""approved list begin submitting homework registration open anyone can submit homework while registration is open""}'}]",0.001095,977bf7786c
What’s the point of the registration form if the course doesn’t check who registered?,"The registration form is mainly to gauge interest before the course starts — it isn’t checked against an approved list.

So you can still start learning and submit homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registration form course doesn’t check who registered point of registration form""}'}]",0.0012555,977bf7786c
Can I start learning and turning in assignments right away without getting any extra confirmation after signing up?,"Yes — you can start learning and submitting homework right away. The FAQ says you don’t need to wait for any confirmation email after registering. Registration is just to gauge interest, and it’s not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""start learning turning in assignments right away extra confirmation after signing up confirmation activate account signup assignments FAQ""}'}]",0.00128025,977bf7786c
